word,coefficient value
said,4.78009388404
tlrs latest,3.3886420762
tlrs,3.387472016
india,3.15615539326
indian,3.0415060969
photo,2.57033496732
july,2.30853197338
image,2.28221647693
latest,2.25538737198
picture,2.04019068193
al,1.94148092243
minister,1.91334579186
rs,1.83933043221
app,1.78708932976
university,1.74941998497
latest video,1.72435101819
work,1.70782324071
putin,1.69790715036
watch tlrs,1.69576259672
latest podcast,1.69538462703
listen tlrs,1.69538462703
did,1.67675256595
cent,1.67398400894
podcast,1.6391678592
indian express,1.5945088208
wednesday,1.5916041662
pakistan,1.58980416976
reuters,1.58501089
images,1.58149284103
community,1.55664012534
jewish,1.53947708902
chief,1.53148615558
qatar,1.5133358145
express,1.50812991861
delhi,1.50283308881
getty,1.49843294525
ties,1.49708920981
chinese,1.48500132314
presidents,1.47446196913
women,1.47144076583
download indian,1.46595253814
express app,1.46595253814
news download,1.46595253814
owner article,1.46594261553
editing,1.46162215959
expected,1.44241296341
centre,1.42950685207
jr,1.42490243355
sessions,1.39107093101
like,1.37367224794
