word,coefficient value
follow,-18.617758752
iwb,-12.6255978905
iwb facebook,-12.5098465311
follow investwatchblog,-12.4915232632
follow iwb,-12.4915232632
investwatchblog,-12.4915232632
twitter follow,-12.3148900468
facebook twitter,-10.613718604
views,-9.7101655674
investwatchblog views,-8.79590455156
sharing caring,-6.08887587005
vaccine,-5.67325526348
antimedia,-5.0835434353
read,-5.04671258952
antifa,-5.01922763738
facebook,-4.98141575159
content,-4.78317558523
caring,-4.74819814078
american,-4.69897488746
daily caller,-4.22718762733
president trump,-4.21111067666
caller news,-4.20966579113
deep state,-4.20609763372
news foundation,-4.13601158383
caller,-3.99985103075
contact email,-3.83103836386
twitter,-3.76216964529
greece,-3.63585579863
foundation,-3.4665905178
christian,-3.41306686836
fact,-3.34304622098
sharing,-3.29581943871
revolutionizing news,-3.28502408357
bible,-3.28380720214
revolutionizing,-3.24393705746
click started,-3.2307829658
help click,-3.22901469852
americans,-3.22899942653
email protected,-3.18516334098
bilderberg,-3.17588591394
graviola,-3.14883072636
audience licensing,-3.14844962074
charge eligible,-3.14844962074
created daily,-3.14844962074
eligible news,-3.14844962074
opportunities original,-3.14844962074
publisher provide,-3.14844962074
available charge,-3.14592653777
foundation available,-3.14583846296
provide large,-3.1457999851
